Website	https://www.vera-groningen.nl	start	Start		https://www.vera-groningen.nl	max 25 events, max 20 seconden
Website	https://www.vera-groningen.nl	ok	Pagina gelezen		https://www.vera-groningen.nl/	73362 tekens HTML
Website	https://www.vera-groningen.nl	event uit link	Tramhaus	2026-12-18	https://www.vera-groningen.nl/?post_type=events&p=152859&lang=nl	Friday 18 December Tramhaus support Koop ticket
Website	https://www.vera-groningen.nl	event uit link	De Kift NL Nederlandse theater-punk fanfare	2026-10-16	https://www.vera-groningen.nl/?post_type=events&p=152075&lang=nl	Friday 16 October De Kift NL Nederlandse theater-punk fanfare Vanaf het najaar van 2026 tourt muziekgezelschap De Kift langs de landelijke podia met 'De eenzame', een... Lees meer Koop ticket
Website	https://www.vera-groningen.nl	event uit link	SATURDAY SHOW	2026-12-19	https://www.vera-groningen.nl/?post_type=events&p=152866&lang=nl	SATURDAY SHOW Saturday 19 December Tramhaus support Raw postpunk from Rotterdam In 2023 wonnen ze de VERA Poll, en ook in 2026 blijft deze band een vaste publieksfavoriet. Lees meer Koop ticket
Website	https://www.vera-groningen.nl	event uit link	The Rocky Horror Picture Show	2026-06-08	https://www.vera-groningen.nl/?post_type=events&p=152721&lang=nl	Monday 8 June The Rocky Horror Picture Show Zienema | Ticket: €5,- | doors: 20:00 - 20:30 | start: 20:30 Sold out
Website	https://www.vera-groningen.nl	event uit link	UBBO X ZIENEMA	2026-06-09	https://www.vera-groningen.nl/?post_type=events&p=152412&lang=nl	UBBO X ZIENEMA Tuesday 9 June The Rocky Horror Picture Show Zienema | Ticket: €5,- | doors: 20:00 - 20:30 | start: 20:30 Sold out
Website	https://www.vera-groningen.nl	event uit link	VERA Kelderbar	2026-06-10	https://www.vera-groningen.nl/?post_type=events&p=152728&lang=nl	Wednesday 10 June VERA Kelderbar
Website	https://www.vera-groningen.nl	event uit link	CLUBKAARTSHOW	2026-06-10	https://www.vera-groningen.nl/?post_type=events&p=151834&lang=nl	CLUBKAARTSHOW Wednesday 10 June Orkesta Mendoza USA Mainstage | Ticket: €18,- | doors: 20:00 - 21:30 | start: 21:00 Koop ticket
Website	https://www.vera-groningen.nl	event uit link	VERA Kelderbar	2026-06-11	https://www.vera-groningen.nl/?post_type=events&p=152729&lang=nl	Thursday 11 June VERA Kelderbar
Website	https://www.vera-groningen.nl	event uit link	mary in the junkyard UK support Angry weepy chaos rock trio	2026-09-11	https://www.vera-groningen.nl/?post_type=events&p=152960&lang=nl	Friday 11 September mary in the junkyard UK support Angry weepy chaos rock trio mary in the junkyard is het Londense trio rond Clari Freeman-Taylor en geldt als een van de... Lees meer Koop ticket
Website	https://www.vera-groningen.nl	event uit link	NAFT BEL support Brass-infused techno house	2027-02-07	https://www.vera-groningen.nl/?post_type=events&p=152860&lang=nl	Sunday 7 February NAFT BEL support Brass-infused techno house NAFT is een explosieve techhouse-sensatie uit België die de kracht van koperblazers combineert met de pulserende beats... Lees meer Koop ticket
Website	https://www.vera-groningen.nl	event uit link	FRIDAY SHOW	2026-12-18	https://www.vera-groningen.nl/?post_type=events&p=152859&lang=nl	FRIDAY SHOW Friday 18 December Tramhaus support Raw postpunk from Rotterdam In 2023 wonnen ze de VERA Poll, en ook in 2026 blijft deze band een vaste publieksfavoriet. Lees meer Koop ticket
Website	https://www.vera-groningen.nl	event uit link	SATURDAY SHOW	2026-12-19	https://www.vera-groningen.nl/?post_type=events&p=152866&lang=nl	SATURDAY SHOW Saturday 19 December Tramhaus support Raw postpunk from Rotterdam In 2023 wonnen ze de VERA Poll, en ook in 2026 blijft deze band een vaste publieksfavoriet. Lees meer Koop ticket
Website	https://www.vera-groningen.nl	event uit kaart	Highlights	2026-10-16	https://www.vera-groningen.nl/?post_type=events&p=152075&lang=nl	Highlights Friday 16 October De Kift NL Nederlandse theater-punk fanfare Vanaf het najaar van 2026 tourt muziekgezelschap De Kift langs de landelijke podia met 'De eenzame', een... Lees meer Koop ticket SATURDAY SHOW Saturday 19 December Tramhaus support Raw postpunk from Rotterdam In 2023 wonnen ze de VERA Poll, en ook in 2026 blijft deze band een vaste publieksfavoriet. Lees meer Koop ticket
Website	https://www.vera-groningen.nl	event uit kaart	De Kift NL Nederlandse theater-punk fanfare	2026-10-16	https://www.vera-groningen.nl/?post_type=events&p=152075&lang=nl	Friday 16 October De Kift NL Nederlandse theater-punk fanfare Vanaf het najaar van 2026 tourt muziekgezelschap De Kift langs de landelijke podia met 'De eenzame', een... Lees meer Koop ticket
Website	https://www.vera-groningen.nl	event uit kaart	SATURDAY SHOW	2026-12-19	https://www.vera-groningen.nl/?post_type=events&p=152866&lang=nl	SATURDAY SHOW Saturday 19 December Tramhaus support Raw postpunk from Rotterdam In 2023 wonnen ze de VERA Poll, en ook in 2026 blijft deze band een vaste publieksfavoriet. Lees meer Koop ticket
Website	https://www.vera-groningen.nl	event uit kaart	Coming up	2026-06-08	https://www.vera-groningen.nl/?post_type=events&p=152721&lang=nl	Coming up Monday 8 June The Rocky Horror Picture Show Zienema | Ticket: €5,- | doors: 20:00 - 20:30 | start: 20:30 Sold out UBBO X ZIENEMA Tuesday 9 June The Rocky Horror Picture Show Zienema | Ticket: €5,- | doors: 20:00 - 20:30 | start: 20:30 Sold out Wednesday 10 June VERA Kelderbar CLUBKAARTSHOW Wednesday 10 June Orkesta Mendoza USA Mainstage | Ticket: €18,- | doors: 20:00 - 21:30 | start: 21:00 Koop ticket Thurs
Website	https://www.vera-groningen.nl	event uit kaart	Coming up	2026-06-08	https://www.vera-groningen.nl/?post_type=events&p=152721&lang=nl	Coming up Monday 8 June The Rocky Horror Picture Show Zienema | Ticket: €5,- | doors: 20:00 - 20:30 | start: 20:30 Sold out UBBO X ZIENEMA Tuesday 9 June The Rocky Horror Picture Show Zienema | Ticket: €5,- | doors: 20:00 - 20:30 | start: 20:30 Sold out Wednesday 10 June VERA Kelderbar CLUBKAARTSHOW Wednesday 10 June Orkesta Mendoza USA Mainstage | Ticket: €18,- | doors: 20:00 - 21:30 | start: 21:00 Koop ticket Thurs
Website	https://www.vera-groningen.nl	event uit kaart	The Rocky Horror Picture Show	2026-06-08	https://www.vera-groningen.nl/?post_type=events&p=152721&lang=nl	Monday 8 June The Rocky Horror Picture Show Zienema | Ticket: €5,- | doors: 20:00 - 20:30 | start: 20:30 Sold out
Website	https://www.vera-groningen.nl	event uit kaart	The Rocky Horror Picture Show	2026-06-08	https://www.vera-groningen.nl/?post_type=events&p=152721&lang=nl	Monday 8 June The Rocky Horror Picture Show Zienema | Ticket: €5,- | doors: 20:00 - 20:30 | start: 20:30 Sold out
Website	https://www.vera-groningen.nl	event uit kaart	UBBO X ZIENEMA	2026-06-09	https://www.vera-groningen.nl/?post_type=events&p=152412&lang=nl	UBBO X ZIENEMA Tuesday 9 June The Rocky Horror Picture Show Zienema | Ticket: €5,- | doors: 20:00 - 20:30 | start: 20:30 Sold out
Website	https://www.vera-groningen.nl	event uit kaart	UBBO X ZIENEMA	2026-06-09	https://www.vera-groningen.nl/?post_type=events&p=152412&lang=nl	UBBO X ZIENEMA Tuesday 9 June The Rocky Horror Picture Show Zienema | Ticket: €5,- | doors: 20:00 - 20:30 | start: 20:30 Sold out
Website	https://www.vera-groningen.nl	event uit kaart	VERA Kelderbar	2026-06-10	https://www.vera-groningen.nl/?post_type=events&p=152728&lang=nl	Wednesday 10 June VERA Kelderbar
Website	https://www.vera-groningen.nl	event uit kaart	VERA Kelderbar	2026-06-10	https://www.vera-groningen.nl/?post_type=events&p=152728&lang=nl	Wednesday 10 June VERA Kelderbar
Website	https://www.vera-groningen.nl	event uit kaart	CLUBKAARTSHOW	2026-06-10	https://www.vera-groningen.nl/?post_type=events&p=151834&lang=nl	CLUBKAARTSHOW Wednesday 10 June Orkesta Mendoza USA Mainstage | Ticket: €18,- | doors: 20:00 - 21:30 | start: 21:00 Koop ticket
Website	https://www.vera-groningen.nl	event uit kaart	CLUBKAARTSHOW	2026-06-10	https://www.vera-groningen.nl/?post_type=events&p=151834&lang=nl	CLUBKAARTSHOW Wednesday 10 June Orkesta Mendoza USA Mainstage | Ticket: €18,- | doors: 20:00 - 21:30 | start: 21:00 Koop ticket
Website	https://www.vera-groningen.nl	event uit kaart	VERA Kelderbar	2026-06-11	https://www.vera-groningen.nl/?post_type=events&p=152729&lang=nl	Thursday 11 June VERA Kelderbar
Website	https://www.vera-groningen.nl	event uit kaart	VERA Kelderbar	2026-06-11	https://www.vera-groningen.nl/?post_type=events&p=152729&lang=nl	Thursday 11 June VERA Kelderbar
